,idmb_id,plot,SentimentScore Military,OverallSentiment Military,SentimentScore Army,OverallSentiment Army,SentimentScore AirForce,OverallSentiment AirForce,SentimentScore Navy,OverallSentiment Navy,SentimentScore War,OverallSentiment War,SentimentScore Marine,OverallSentiment Marine
13,tt0103626,"based on a true story, one woman takes on the u.s. military and general dynamics; maker of the f, thought to be the very best tactical fighter in the world. air force captain theodore t. harduvel was one of the best f pilots the u.s. had to offer. after much digging, janet harduvel discovers a joint military and general dynamic cover up. she proves to be unwavering in her search for the truth to clear his name.","[0.24123107, 0.07885244, 0.6799165]",2,"[0.4144749, 0.43159518, 0.15392996]",1,"[0.309339, 0.14916727, 0.5414938]",2,"[0.4890711, 0.25752875, 0.25340012]",0,"[0.67681813, 0.21147083, 0.11171102]",0,"[0.46802083, 0.43719247, 0.094786696]",0
14,tt0099314,"when a passenger plane crashes after a bomb scare, there are many unanswered questions, which can only be attributed to pilot error. the pilot's wife, diane halstead, is convinced her husband could never have caused the disaster, but nobody will listen to her.","[0.046097025, 0.9469973, 0.0069056675]",1,"[0.026171148, 0.96734035, 0.006488516]",1,"[0.04365865, 0.9366698, 0.019671544]",1,"[0.024506284, 0.95149267, 0.024001082]",1,"[0.102152504, 0.8778437, 0.020003852]",1,"[0.04642672, 0.94614923, 0.0074240523]",1
15,tt0043270,a group of cadets have assorted problems at the u.s. air force pilot training academy.,"[0.43077755, 0.5561986, 0.013023846]",1,"[0.43792063, 0.5516319, 0.010447427]",1,"[0.6576699, 0.22618295, 0.116147146]",0,"[0.48471424, 0.48435536, 0.030930344]",0,"[0.6444801, 0.34894416, 0.006575684]",0,"[0.55192727, 0.43830326, 0.009769396]",0
16,tt0029847,two daredevil pilots go after the same girl.,"[0.93222046, 0.062166, 0.0056136106]",0,"[0.72178096, 0.26883978, 0.009379226]",0,"[0.91812795, 0.07027105, 0.011600979]",0,"[0.81184536, 0.17389892, 0.014255709]",0,"[0.9817229, 0.015946183, 0.0023309335]",0,"[0.94560844, 0.049847566, 0.0045440416]",0
17,tt0035616,"on december 6, 1941 nine b bomber set off on a flight from san francisco to hawaii. one of the bombers, the mary ann, is commanded by 'irish' quincannon. the bombardier, tommy mcmartin, has a sister living in hawaii and the co pilot, bill williams, is sweet on her. the men are all highly professional with the exception of aerial gunner joe winocki, a bitter man who has every intention of leaving the army air corps. they arrive at hickam field on the morning of december 7, just as the japanese are attacking pearl harbor and other military facilities. all of the men prepare to face the enemy, including winocki whose attitude changes quickly. the bomber and its crew will participate in many missions but not all will survive.","[0.31746078, 0.4370074, 0.24553186]",1,"[0.19068693, 0.65223694, 0.1570761]",1,"[0.17515574, 0.63811886, 0.18672541]",1,"[0.18477073, 0.65710574, 0.15812355]",1,"[0.40259084, 0.5102507, 0.08715844]",1,"[0.29125708, 0.5321453, 0.17659758]",1
18,tt0118571,"the president of the usa goes to moscow and gives a stirring speech outlining the usa's new zero tolerance policy with respect to terrorism. on the flight home, terrorists take over air force one the president's official plane and take the passengers including his wife and daughter hostage. the terrorists plan to execute one hostage every half hour unless or until their demands are met. however, the president is a former medal of honor winner, so the terrorists may be in for a surprise...","[0.1881214, 0.79828316, 0.013595367]",1,"[0.28293377, 0.7015135, 0.01555271]",1,"[0.65838087, 0.31861967, 0.022999486]",0,"[0.23630983, 0.7467845, 0.016905721]",1,"[0.7438821, 0.22928882, 0.02682904]",0,"[0.37115535, 0.6091676, 0.019677052]",1
19,tt0071110,"when the pilot of a small aircraft has a heart attack and crashes his plane into the cockpit of a boeing 747, several members of the flight crew are killed and the pilot is blinded. miraculously, the 747 stays in the air on auto pilot with flight attendant nancy prior at the controls. ground controllers, including her boyfriend alan murdock, try to teach her the basics but they soon realize they will have to get a trained pilot into the cockpit. their first attempt fails and murdock realizes he will have to do it. meanwhile, various passengers have their own problems including a young girl who is destined to a life saving operation.","[0.43740284, 0.5449153, 0.017681818]",1,"[0.3056518, 0.6748458, 0.01950238]",1,"[0.5364262, 0.4063389, 0.05723489]",0,"[0.25162476, 0.70204943, 0.046325874]",1,"[0.75613767, 0.21577725, 0.028085094]",0,"[0.67362344, 0.3084042, 0.017972352]",0
20,tt0075648,mr. phillip stevens is flying in a load of vips to the grand opening of his art collection when a trio of hijackers knock out the passengers with gas and try to steal the priceless cargo of art treasures. but everything goes wrong for the hijackers when the 747 crashes in the bermuda triangle. while the passengers remain alive in the shallow water a daring rescue operation is planned to bring the plane up without breaking it in two.,"[0.16658781, 0.80389893, 0.029513212]",1,"[0.15852964, 0.81489563, 0.026574723]",1,"[0.28231388, 0.60209495, 0.11559114]",1,"[0.07946852, 0.8439119, 0.0766196]",1,"[0.43394402, 0.4901349, 0.07592105]",1,"[0.3896747, 0.53584033, 0.07448502]",1
21,tt0054613,"story of a navy ship with a captain obsessed with catching a fish, a singing executive officer wanting to get married, and an indian with a turkey as a pet. with pat boone as the hopeful suitor, barbara eden as his girl, and buddy hackett assigned to boone to stay out of the captain's way.","[0.78232354, 0.116610534, 0.10106596]",0,"[0.69729966, 0.24666665, 0.056033663]",0,"[0.7515522, 0.11713628, 0.13131154]",0,"[0.27977943, 0.0788828, 0.64133775]",2,"[0.8866108, 0.03969179, 0.07369743]",0,"[0.7821234, 0.08859302, 0.12928365]",0
22,tt0053583,"during the korean war, the lieutenant in charge of a marine rifle platoon is killed in battle. before he dies, he places the platoon's sergeant, who's black, in charge. the sergeant figures on having trouble with two men in his platoon: a private who has much more combat experience than he does, and a racist southerner who doesn't like blacks in the first place and has no intention of taking orders from one.","[0.23624793, 0.75195426, 0.011797757]",1,"[0.2923218, 0.693957, 0.013721261]",1,"[0.30693215, 0.6779336, 0.015134296]",1,"[0.17960785, 0.80383927, 0.016552856]",1,"[0.9784982, 0.018791554, 0.0027102218]",0,"[0.37665603, 0.6032027, 0.02014133]",1
23,tt1243974,"a celebrated military contractor returns to the site of his greatest career triumphs the us space program in honolulu, hawaii and reconnects with a long ago love while unexpectedly falling for the hard charging air force watchdog assigned to him.","[0.03606459, 0.029693987, 0.9342414]",2,"[0.1360114, 0.10842052, 0.7555681]",2,"[0.26641622, 0.12555923, 0.60802454]",2,"[0.2095535, 0.16564219, 0.6248043]",2,"[0.875053, 0.040815294, 0.08413171]",0,"[0.46040624, 0.284483, 0.2551108]",0
24,tt0092545,"chuck murdock is an all american kid living in a sleepy town in montana. he is the top pitcher of the little league team as well. after taking a tour of a nuclear silo, chuck decides to quit playing little league until nuclear weapons are disarmed. boston celtic amazing grace smith hears about chuck's exploits, and decides to do the same thing. amazing then moves to the young boy's town to live. more athletes follow suit as well. the town begins to hate chuck and his family, and this makes chuck's father angry. but can one kid's message make the world listen?","[0.3882835, 0.5831614, 0.028555091]",1,"[0.2675503, 0.7100281, 0.022421652]",1,"[0.47356892, 0.47633454, 0.050096557]",1,"[0.24147469, 0.6983939, 0.060131468]",1,"[0.73774177, 0.22435299, 0.0379053]",0,"[0.58253944, 0.37382504, 0.043635543]",0
25,tt0060098,"with general macarthur poised to strike against the japanese defenses in the philippines, a group of nine marines are given a secret mission.they have to secretly land on a philippine island in order to contact a spy who has information vital to general macarthur's planned invasion.when their captain is killed, sergeant corey takes charge of the group.the patrol fights its way through the japanese infested jungle, and only five marines remain when they finally reach their destination.the group's radio has been destroyed, and they are unable to communicate with their base.it means that even if they find their spy and retrieve the vital intelligence they will be unable to relay this information to general macarthur's headquarters.the japanese, already alerted to commando's presence in the area are closing in.the marines are running out of time.","[0.17770736, 0.80521584, 0.017076861]",1,"[0.26716712, 0.71154255, 0.021290356]",1,"[0.31145814, 0.6512539, 0.03728798]",1,"[0.22915229, 0.73127675, 0.039571013]",1,"[0.6485003, 0.31566077, 0.035838887]",0,"[0.21877608, 0.76003206, 0.021191923]",1
26,tt0109096,"in 1928, amelia earhart gains fame by undertaking a transatlantic flight as a passenger. in 1937, she and her navigator fred noonan undertake her longest flight: a round the world attempt. however, the plane disappears in the process.","[0.26009578, 0.7244111, 0.0154931545]",1,"[0.26113406, 0.71941924, 0.019446729]",1,"[0.22523841, 0.63416845, 0.14059323]",1,"[0.23225419, 0.73289394, 0.034851857]",1,"[0.8366217, 0.14088883, 0.02248951]",0,"[0.3584677, 0.61241233, 0.029120043]",1
27,tt0014672,"the first half of the film portrays the struggle of the under armed, under manned colonists against the british redcoats at lexington, bunker hill and valley forge. other landmarks of the american revolution shown include the boston tea party, paul revere's midnight ride and patrick henry's played by frank mcglyyn jr. and not played by his father frank mcglynn sr inflammatory speeches to the virginia house of burgesses. the second half dwells on the bloody indian war of mohawk valley. the parts are tied together by the troubled romance between a young patriot, nathan holden neal hamiltonand nancy montague carol dempster, the daughter of a tory judge.","[0.13421236, 0.8357649, 0.0300228]",1,"[0.18046758, 0.78613275, 0.033399727]",1,"[0.325776, 0.5479502, 0.12627384]",1,"[0.10411339, 0.870185, 0.025701525]",1,"[0.37064373, 0.2195899, 0.40976635]",2,"[0.3304121, 0.48955584, 0.18003206]",1
28,tt0042195,"in the spring of 1942, following the blockade run that took general douglas macarthur and his staff from the philippines to the safety of australia, the survivors of a bombed and sunk pt boat make their way to shore. the skipper tells his men they have top priority passes if they can make their way to del monte airfield 200 miles away, and advises them to split up into pairs. ensign chuck palmer and crewman jim mitchell finally reach tacloban on the island of leyte. in an american mission school, palmer meets jeanne martinez, who is urgently trying to see the officer in charge with a request for help for a relative, and he also learns that the japanese have captured the airfield. palmer tries to make australia by a boat that sinks in a tropical storm and has to swim for shore. all through 1942, palmer and the other survivors dodge enemy patrols while living off of the land.","[0.55309653, 0.42365786, 0.023245607]",0,"[0.69646853, 0.28197753, 0.021553947]",0,"[0.74867886, 0.20570019, 0.04562097]",0,"[0.7134808, 0.24882609, 0.03769311]",0,"[0.9098121, 0.07825134, 0.011936498]",0,"[0.8258712, 0.12747522, 0.046653464]",0
29,tt0112346,"andrew shepherd is approaching the end of his first term as president of the united states. he's a widower with a young daughter and has proved to be popular with the public. his election seems assured. that is until he meets sydney ellen wade, a paid political activist working for an environmental lobby group. he's immediately smitten with her and after several amusing attempts, they finally manage to go on a date which happens to be a state dinner for the visiting president of france. his relationship with wade opens the door for his prime political opponent, senator bob rumson, to launch an attack on the president's character, something he could not do in the previous election as shepherd's wife had only recently died.","[0.22203909, 0.7440858, 0.03387515]",1,"[0.19772847, 0.76949376, 0.032777764]",1,"[0.41893655, 0.4836792, 0.09738427]",1,"[0.13375174, 0.7867648, 0.079483464]",1,"[0.60997933, 0.3457764, 0.044244282]",0,"[0.45665693, 0.48041853, 0.062924504]",1
30,tt0057840,"during the build up to d day in 1944, the british found their island hosting many thousands of american soldiers who were oversexed, overpaid, and over here. that's charlie madison exactly; he knows all the angles to make life as smooth and risk free as possible for himself. but things become complicated when he falls for an english woman, and his commanding officer's nervous breakdown leads to charlie being sent on a senseless and dangerous mission.","[0.06262784, 0.9084372, 0.028934956]",1,"[0.09238675, 0.8677188, 0.039894458]",1,"[0.15216695, 0.7275015, 0.12033151]",1,"[0.17719397, 0.70981675, 0.1129893]",1,"[0.36898282, 0.5337778, 0.09723946]",1,"[0.124087125, 0.7946603, 0.08125256]",1
31,tt0084434,"zack mayo is a young man who has signed up for navy aviation officer candidate school. he is a navy brat who has a bad attitude problem. gysgt foley is there to train and evaluate him and will clearly find zack wanting. zack meets paula, a girl who has little beyond family and must decide what it is he wants to do with his life.","[0.51968783, 0.38227344, 0.09803874]",0,"[0.49710327, 0.459124, 0.04377264]",0,"[0.5733691, 0.26826733, 0.15836355]",0,"[0.62978756, 0.19729623, 0.17291619]",0,"[0.8407678, 0.117782064, 0.041450158]",0,"[0.5190274, 0.3795752, 0.101397425]",0
32,tt0037514,a pair of sailors on leave try to help a movie extra become a singing star.,"[0.7990813, 0.1464824, 0.05443628]",0,"[0.39106748, 0.5786282, 0.030304274]",1,"[0.5271316, 0.34868288, 0.12418549]",0,"[0.61980295, 0.3299909, 0.05020612]",0,"[0.9260762, 0.051670484, 0.022253389]",0,"[0.81164503, 0.12792976, 0.060425237]",0
33,tt0092564,"father mahon and sister ann mckeon are missionaries on a south pacific island threatened by rebel forces. after a brutal attack leaves the village without a leader and father mahon dead, sister ann calls for help are answered by captain william wicker and his army special forces unit. they've been called in to train the islanders to defend themselves. the children think the wicker is an angel in green but his violent military lifestyle conflicts with sister ann's peaceful beliefs. but she finds herself attracted to the 'angel in green'.","[0.13921979, 0.7613362, 0.09944406]",1,"[0.37427938, 0.07396922, 0.55175143]",2,"[0.28786618, 0.5540127, 0.15812111]",1,"[0.21282524, 0.7315665, 0.05560832]",1,"[0.48907778, 0.34670344, 0.16421878]",0,"[0.35856068, 0.45996863, 0.18147072]",1
34,tt0028578,"the adventures of three disparate cadets at the us naval academy one the son of a navy enlisted man, the other the scion of a wealthy family, the third decent but somewhat slow witted and their struggles with the rigors of the academy, women, and each other.","[0.33892888, 0.59976125, 0.061309885]",1,"[0.38514197, 0.5760346, 0.03882342]",1,"[0.37086776, 0.55366623, 0.07546609]",1,"[0.6571445, 0.12807603, 0.21477951]",0,"[0.86482203, 0.09472806, 0.040449943]",0,"[0.32950562, 0.61059564, 0.05989878]",1
35,tt0047835,"two brothers, enrolled at the u.s. naval academy on the verge of the korean war, fall in love with the same girl.","[0.4704194, 0.09371332, 0.43586725]",0,"[0.4653031, 0.49159688, 0.043100055]",1,"[0.48449728, 0.32487527, 0.19062749]",0,"[0.21234007, 0.053939164, 0.7337208]",2,"[0.9600519, 0.010027576, 0.029920552]",0,"[0.59653246, 0.10566356, 0.29780403]",0
36,tt0168786,"a sailor prone to violent outbursts is sent to a naval psychiatrist for help. refusing at first to open up, the young man eventually breaks down and reveals a horrific childhood. through the guidance of his doctor, he confronts his painful past and begins a quest to find the family he never knew.","[0.36778027, 0.616365, 0.015854718]",1,"[0.16284508, 0.8236768, 0.013478096]",1,"[0.35827026, 0.62151504, 0.020214716]",1,"[0.12847166, 0.82666653, 0.04486185]",1,"[0.53262055, 0.4456982, 0.021681214]",0,"[0.44304392, 0.5365307, 0.020425444]",1
37,tt0062673,"allied forces land at anzio unopposed but instead of moving straight inland their commanding officer decides to dig in. a battle hardened war correspondent borrows a jeep and drives to rome and back without meeting any german forces, but his report on this absence of the enemy is discounted. by the time it is finally decided to make a move the germans have arrived in strength and a prolonged and bloody fight ensues.","[0.09404372, 0.8966657, 0.00929058]",1,"[0.12906943, 0.8581071, 0.012823528]",1,"[0.19745494, 0.7586157, 0.043929428]",1,"[0.1868434, 0.7846564, 0.028500186]",1,"[0.4699066, 0.41317698, 0.11691639]",0,"[0.18284449, 0.8074704, 0.009685149]",1
38,tt0078788,"it is the height of the war in vietnam, and u.s. army captain willard is sent by colonel lucas and a general to carry out a mission that, officially, 'does not exist nor will it ever exist'. the mission: to seek out a mysterious green beret colonel, walter kurtz, whose army has crossed the border into cambodia and is conducting hit and run missions against the viet cong and nva. the army believes kurtz has gone completely insane and willard's job is to eliminate him! willard, sent up the nung river on a u.s. navy patrol boat, discovers that his target is one of the most decorated officers in the u.s. army. his crew meets up with surfer type lt colonel kilgore, head of a u.s army helicopter cavalry group which eliminates a viet cong outpost to provide an entry point into the nung river. after some hair raising encounters, in which some of his crew are killed, willard, lance and chef reach colonel kurtz's outpost, beyond the do lung bridge. now, after becoming prisoners of kurtz, will willard and the others be able to fulfill their mission?","[0.87973595, 0.09922629, 0.021037746]",0,"[0.8599257, 0.090891756, 0.049182594]",0,"[0.8570187, 0.121327385, 0.021653874]",0,"[0.92898667, 0.032264527, 0.03874882]",0,"[0.913313, 0.017239682, 0.0694474]",0,"[0.9016327, 0.081592135, 0.01677515]",0
39,tt0112384,"based on the true story of the ill fated 13th apollo mission bound for the moon. astronauts lovell, haise and swigert were scheduled to fly apollo 14, but are moved up to 13. it's 1970, and the us has already achieved their lunar landing goal, so there's little interest in this routine flight.. until that is, things go very wrong, and prospects of a safe return fade.","[0.06354005, 0.92266446, 0.013795505]",1,"[0.060462873, 0.92600214, 0.013534913]",1,"[0.12894538, 0.8237348, 0.04731978]",1,"[0.08253872, 0.87686783, 0.04059342]",1,"[0.17314516, 0.73106635, 0.09578852]",1,"[0.16855007, 0.7970904, 0.03435953]",1
40,tt0120591,"it is just another day at the national aeronautics and space administration nasa, a few astronauts were repairing a satellite until, out of nowhere, a series of asteroids came crashing into the shuttle, destroying it. these asteroids also decimated new york soon thereafter. then, nasa discovered that there is an asteroid roughly the size of texas heading towards the earth, and when it does hit the earth, the planet itself and all of its inhabitants will be obliterated, worse, the asteroid will hit the earth in 18 days. unfortunately, nasa's plans to destroy the asteroid are irrelevant. that is when the u.s. military decides to use a nuclear warhead to blow the asteroid to pieces. then, scientists decide to blow the asteroid with the warhead inside the asteroid itself. the only man to do it, is an oil driller named harry stamper and his group of misfit drillers and geologists. as he and his drill team prepare for space excavation, the asteroid is still heading towards the earth. when the crew are launched into outer space, they are determined to destroy this asteroid.","[0.7040093, 0.26382175, 0.032169003]",0,"[0.45394617, 0.5254905, 0.02056332]",1,"[0.72267526, 0.23625353, 0.041071177]",0,"[0.44160774, 0.5254645, 0.032927744]",1,"[0.92100227, 0.06420329, 0.014794451]",0,"[0.73288774, 0.23437192, 0.032740306]",0
41,tt0054636,an american army unit is trapped behind german lines in a small town by a german counterattack. the unit's commander discovers that there is a spy in town among the civilian population who is providing the germans with military information.,"[0.5625979, 0.4306246, 0.0067775683]",0,"[0.17539816, 0.81812334, 0.006478501]",1,"[0.24538483, 0.73608977, 0.018525423]",1,"[0.22021319, 0.7671423, 0.0126445405]",1,"[0.87354386, 0.12102252, 0.005433649]",0,"[0.16349627, 0.8309502, 0.005553553]",1
42,tt0118261,"with the discovery of an incoming asteroid, the government of america formulate a plan to destroy it. when the plan fails, all the world can do is wait. the main impact zone is revealed to be dallas, texas. generally, the plot follows the lives and reactions of several characters: an astronomer, her father, her son, two firefighters from kansas city, two young doctors in dallas and the heads of the government agency in charge of the situation.","[0.524497, 0.45307997, 0.022423066]",0,"[0.37469602, 0.6055202, 0.019783834]",1,"[0.5755717, 0.38953426, 0.034893997]",0,"[0.30455658, 0.6631832, 0.032260153]",1,"[0.81948525, 0.15570989, 0.024804883]",0,"[0.7833042, 0.1818291, 0.034866698]",0
43,tt0042209,"alvin corwin is low man on the totem pole, and goes from one mishap to another at an army training camp in world war ii.","[0.6381629, 0.2699869, 0.09185017]",0,"[0.9520402, 0.024196772, 0.023763116]",0,"[0.59632295, 0.3128344, 0.0908426]",0,"[0.5966075, 0.3530368, 0.05035571]",0,"[0.8920228, 0.009479491, 0.09849781]",0,"[0.5279326, 0.41685167, 0.05521577]",0
44,tt0048966,"during the closing days of wwii, a national guard infantry company is assigned the task of setting up artillery observation posts in a strategic area. lieutenant costa knows that cooney is in command only because of 'connections' he had made state side. costa has serious doubts concerning cooneys' ability to lead the group. when cooney sends costa and his men out, and refuses to re enforce them, costa swears revenge.","[0.16071652, 0.7914996, 0.04778392]",1,"[0.19444409, 0.760907, 0.04464884]",1,"[0.19045302, 0.71075076, 0.09879618]",1,"[0.2124677, 0.7239618, 0.06357047]",1,"[0.83020514, 0.12092016, 0.048874665]",0,"[0.12926894, 0.8422267, 0.02850439]",1
45,tt0048971,"the story of uss 'belinda', attack transport pa22, launched late 1943 with regular navy captain hawks and ex merchant captain macdougall as boat commander. despite personal friction, the two have plenty to deal with as the only experienced officers on board during the shakedown. almost laughable incompetence gradually improves, but the crew remains far from perfect when the ship sees action, landing troops on enemy beachheads. and few anticipate the challenges in store at okinawa...","[0.77121896, 0.13215853, 0.09662258]",0,"[0.84523666, 0.10823845, 0.04652487]",0,"[0.17032197, 0.7234798, 0.1061982]",1,"[0.78334326, 0.043482292, 0.17317444]",0,"[0.5617242, 0.3402893, 0.09798657]",0,"[0.19835901, 0.6899429, 0.11169808]",1
46,tt0090680,a group of military brats uncovers a plot to steal base equipment.,"[0.9674277, 0.024378654, 0.008193701]",0,"[0.96513546, 0.026578858, 0.008285709]",0,"[0.8120351, 0.15239497, 0.03556997]",0,"[0.94899374, 0.03892651, 0.012079763]",0,"[0.95564616, 0.034968987, 0.009384891]",0,"[0.91145927, 0.07576281, 0.012777896]",0
